,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,Churn Score,CLTV
0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15,1,86,3239
1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,1,67,2701
2,0,0,0,1,1,1,2,1,0,0,2,0,2,2,0,1,2,99.65,820.5,1,86,5372
3,0,0,1,1,5,1,2,1,0,0,2,2,2,2,0,1,2,104.8,3046.05,1,84,5003
4,1,0,0,1,9,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5036.3,1,89,5340
5,0,0,1,0,1,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35,1,78,5925
6,1,1,0,0,0,0,1,0,0,0,2,0,0,2,0,1,2,39.65,39.65,1,100,5433
7,1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,20.15,20.15,1,92,4832
8,1,0,1,1,9,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4749.15,1,77,5789
9,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,2,30.2,30.2,1,97,2915
10,0,0,0,0,3,1,0,0,0,0,0,0,2,2,0,1,3,64.7,1093.1,1,74,3022
11,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2,69.7,316.9,1,66,2454
12,1,0,0,1,6,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3549.25,1,65,2941
13,0,0,0,1,2,1,2,1,0,0,2,0,2,2,0,1,0,97.85,1105.4,1,70,5674
14,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,1,2,80.65,144.15,1,90,5586
15,0,0,0,1,2,1,0,1,2,2,0,0,2,2,0,1,1,99.1,1426.4,1,82,2966
16,0,1,1,1,1,1,2,1,0,2,0,0,0,0,0,1,1,80.65,633.3,1,69,5302
17,1,1,0,1,3,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1752.55,1,81,3179
18,0,0,0,1,1,1,2,1,0,0,0,0,2,2,0,0,2,94.4,857.25,1,96,5571
19,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,1,2,79.35,79.35,1,87,2483
20,0,0,1,1,1,1,0,1,0,0,2,0,0,0,0,1,0,75.15,496.9,1,70,3457
21,0,0,0,1,2,1,2,1,2,0,0,0,0,0,0,1,2,78.95,927.35,1,86,5806
22,1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,21.05,113.85,1,66,2604
23,0,1,1,1,4,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2514.5,1,88,5337
24,1,0,1,0,13,1,2,1,0,2,2,2,2,2,2,1,0,110.0,7611.85,1,86,5034
25,1,0,1,1,10,1,2,1,2,2,0,0,2,0,0,1,2,96.75,5238.9,1,75,5154
26,0,1,1,1,7,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2868.15,1,67,2793
27,0,0,1,1,1,1,2,1,2,0,0,0,2,2,0,1,2,100.25,1064.65,1,87,5998
28,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,1,2,74.4,229.55,1,76,4415
29,0,1,0,1,5,1,2,1,0,0,2,0,0,0,0,1,2,78.05,2135.5,1,95,4638
30,0,0,1,0,4,0,1,0,2,2,2,0,2,2,0,1,1,58.6,1502.65,1,99,4190
31,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,35.45,35.45,1,80,2301
32,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,44.35,81.25,1,76,2570
33,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,3,70.45,70.45,1,76,3964
34,0,0,0,0,1,1,2,0,2,0,0,2,0,2,0,0,2,71.15,563.65,1,66,2662
35,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,45.65,45.65,1,73,2600
36,1,0,0,1,1,1,2,1,0,0,0,0,2,2,0,0,3,95.0,655.5,1,94,2786
37,0,0,1,1,3,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1592.35,1,86,5719
38,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,70.9,273.0,1,75,4287
39,1,1,1,0,11,0,1,0,0,2,2,0,0,2,0,1,2,45.3,2651.2,1,100,5444
40,0,0,1,1,0,1,2,1,0,0,2,2,2,2,0,1,2,104.4,242.8,1,83,4690
41,0,0,1,0,10,1,0,1,0,0,2,0,2,2,1,1,0,94.85,5000.2,1,80,4328
42,0,1,0,1,2,1,2,1,0,0,0,0,0,0,0,1,3,74.45,1145.7,1,99,5717
43,0,1,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,76.45,503.6,1,81,4419
44,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,29.95,29.95,1,95,4534
45,1,0,0,1,1,1,2,1,0,0,0,0,0,2,0,0,0,84.5,662.65,1,86,2152
46,0,0,0,1,2,1,0,1,0,2,2,0,0,0,0,1,2,79.25,1111.65,1,73,5142
47,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,24.8,24.8,1,94,4851
48,1,0,1,1,1,1,0,1,0,2,2,0,0,2,0,1,2,91.0,531.0,1,94,2283
49,1,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,2,79.9,79.9,1,98,3394
50,0,0,0,1,3,1,0,1,2,0,2,2,2,2,0,1,2,106.6,1934.45,1,71,3764
51,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,46.0,84.5,1,76,2667
52,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2,70.15,268.35,1,67,2227
53,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,3,50.05,179.35,1,82,3394
54,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,3,55.2,55.2,1,81,3638
55,1,0,0,1,0,1,0,1,2,0,0,0,0,2,0,1,3,84.6,84.6,1,66,2484
56,1,0,0,0,0,1,2,0,0,2,0,0,0,0,0,1,3,54.4,114.1,1,81,2556
57,0,1,0,1,2,1,0,1,0,2,0,0,2,2,0,1,2,95.0,1120.3,1,85,5980
58,1,1,0,0,2,1,0,1,0,2,0,0,0,0,0,1,2,74.4,1074.3,1,86,4616
59,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,3,48.55,48.55,1,77,5687
60,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,70.4,147.15,1,75,5687
61,1,1,1,0,0,0,1,0,0,2,0,0,2,0,0,0,2,40.2,40.2,1,65,5828
62,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,44.6,80.55,1,99,4884
63,1,1,0,0,0,0,1,0,0,0,2,0,0,2,0,1,2,41.15,132.2,1,96,2314
64,1,1,0,0,2,1,2,1,0,2,2,0,2,2,0,1,2,106.9,1364.3,1,84,2494
65,1,0,0,0,11,1,0,2,1,1,1,1,1,1,2,0,3,19.35,1099.6,1,83,5084
66,0,1,0,0,3,1,0,1,0,0,0,2,2,2,0,1,2,94.45,1511.2,1,81,3810
67,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24.8,24.8,1,73,5087
68,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,70.6,70.6,1,69,3338
69,1,0,1,0,0,1,2,1,0,2,0,2,0,0,0,1,2,85.4,401.1,1,80,3676
70,0,0,1,0,10,1,2,1,0,2,2,0,2,2,0,1,2,105.05,5624.85,1,65,4839
71,1,0,1,0,3,1,0,1,0,0,2,0,2,2,0,0,3,95.15,1779.95,1,68,4643
72,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,70.0,70.0,1,97,4094
73,1,1,0,0,1,1,0,1,0,2,0,0,0,0,0,1,2,74.5,606.55,1,80,4345
74,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,44.85,435.4,1,83,4061
75,1,1,0,0,4,1,2,1,0,0,0,0,0,0,0,1,2,76.1,1712.7,1,98,2018
76,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,3,73.6,73.6,1,80,2565
77,0,1,0,0,0,1,2,1,0,0,0,0,2,2,0,1,2,95.45,396.1,1,85,3677
78,1,1,1,0,6,1,2,1,0,0,0,0,0,0,0,1,2,74.9,2303.35,1,69,4105
79,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,80.6,415.55,1,69,5715
80,0,0,1,0,7,1,0,0,2,2,0,2,2,2,1,0,1,80.3,3058.65,1,81,2071
81,1,1,1,0,4,1,0,1,0,0,2,0,2,2,0,1,2,93.15,2231.05,1,73,2212
82,0,1,0,0,10,1,2,0,2,2,0,2,2,2,1,0,0,82.45,4350.1,1,83,4149
83,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,70.35,139.05,1,73,2671
84,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,73.85,511.25,1,67,2473
85,0,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,3,80.6,155.8,1,92,2683
86,1,0,1,0,13,1,2,0,0,2,2,2,0,2,1,1,0,75.8,5293.95,1,81,4903
87,0,0,0,0,8,1,2,1,0,2,2,0,2,2,2,1,2,104.6,4759.85,1,91,5250
